id,sentence,target
1738,  a cheap put together by some cynical creeps at revolution and imagine entertainment to make the out there 9 and minutes of life,-
1739,  a celebration of the female,+
1740,  playing a role of almost intensity bisset is both convincing and radiant,+
1741,"  the plot 's clearly mythic structure may owe more to disney 's strong sense of formula than to the original story but while the highly predictable narrative falls short , treasure planet is truly gorgeous to behold",-
1742,  a tone poem of,+
1743,"  a somewhat constructed but gripping , look at a person so with self loathing , he becomes an enemy to his own race",+
1744,  solondz creates some effective moments of discomfort for character and viewer alike,+
1745,  a diverse and astonishingly articulate cast of palestinian and children,+
1746,  storytelling feels slight,-
1747,  probes in a light hearted way the romantic problems of individuals for whom the yearning for passion,+
1748,"  when mr tells us in his that ` this is a story without surprises , ' we nod in",-
1749,  classic cinema served up with heart and humor,+
1750,"  plods along , minus the twisted humor and eye popping visuals that have made miike a cult hero",-
1751,"  the movie is a blast of educational energy , as bouncy animation and songs you through the entire minutes",+
1752,"  a disaster of a drama , saved only by its",-
1753,"  we root for and paul , even like them , though perhaps it 's an emotion closer to pity",+
1754,"  baran is n't the most transporting or gripping film from iran or , indeed , by its director but it 's a worthy companion to the many fine , focused films emerging from that most surprising of",+
1755,"  brown sugar director 's as an articulate , grown up voice in african american cinema",+
1756,"  the video work is so grainy and rough , so dependent on being ` naturalistic ' rather than carefully lit and set up , that it 's exhausting to watch",-
1757,"  though it inspires some ( out of field ) creative thought , the film is to its own much more a cinematic collage than a",-
1758,"  here , comes as close to profundity as he is likely to get",+
1759,"  as a movie , it never seems fresh and vital it never plays as dramatic even when dramatic things happen to people it as storytelling",-
1760,"  it puts washington , as honest working man john q , on a , then keeps the higher",-
1761,  the story has some nice twists but the ending and some of the back story is a little tired the performances are all solid it merely lacks originality to make it a great movie,+
1762,"  a baffling involving drugs inside danish falls flat , and if you 're going to the bard 's ending , you 'd better have a good alternative",-
1763,"  although frailty fits into a classic genre , in its script and execution it is a remarkably original work",+
1764,"  jason x has cheesy effects and a plot , but its macabre , self deprecating sense of humor makes up for a lot",+
1765,  kapur weighs down the tale with bogus,-
1766,  if you can swallow its absurdities and really is enormously good fun,+
1767,  john 's remake may be than 's 1975 corporate sports saga it 's also,-
1768,"  like vardalos and , who play their roles with vibrant charm , the film , directed by joel , is heartfelt and hilarious in ways you ca n't fake",+
1769,"  the movie , despite its rough edges and a tendency to in certain places , is wry and engrossing",+
1770,  a of a comedy,-
1771,  the average local news has a bigger on the war between modern landscape architecture and small town america,-
1772,  t many of these gross out scenes,-
1773,"  unfortunately , it 's also not very good especially compared with the television series that inspired the movie",-
1774,  snipes is both a snore and utter tripe,-
1775,  bielinsky is a filmmaker of impressive talent,+
1776,"  makhmalbaf 's new film is much like the of a of consciousness , although , it 's unfortunate for the viewer that the thoughts and coming through are and banal",-
1777,"  a turgid little history lesson , and dull",-
1778,"  this is for the most part a useless movie , even with a great director at the",-
1779,  an inspiring and heart affecting film about the desperate attempts of vietnamese refugees living in u s camps to keep their hopes alive in 1975,+
1780,  do n't expect any subtlety from this latest entry in the increasingly threadbare gross out comedy,-
1781,"  it 's predictable , but it jumps through the expected with style and even some depth",+
1782,  life on the is no this picture shows you why,+
1783,"  will no doubt to its cause , out threadbare like ` masterpiece ' and ` triumph ' and all that , but rarely does an established filmmaker so waste viewers ' time with a like this",-
